term
African
American
Asiatic
Aryans
Asian
Asiatic
Black
Blood
Brown
Caucasian
Chauffeurs
Chinese
Clover
Color
Dago
Domestic Servants
Domiciled
Dyke
Ethiopians
Foreigners
Gandhi
Gardeners
Gay
Ginzo
Greaser
Hebrews
Hindu
Immigrant
Indian
Interracial
Italian
Italians
Japanese
Jew
Jews
Korean
Lineage
Malays
Master
Mixed race
Mongolian
Native of the Turkish Empire
Negro
Nigga
Nigger
People
Portuguese
Race
Religion
Restricted District
Servants
Turkish
White
Mulatto
